Video Name,CLS answer
Assault_2.mp4,<answer> Normal </answer>
Assault_4.mp4,Normal
Assault_7.mp4,Assault
Assault_8.mp4,<answer>People_falling</answer>
Assault_11.mp4,<answer> Normal </answer>
Assault_13.mp4,<answer>Absence_of_anomaly</answer>
Assault_14.mp4,<answer> Assault </answer>
Assault_15.mp4,<answer>People_falling</answer>
Explosion_1.mp4,Normal
Explosion_3.mp4,Normal
Explosion_5.mp4,<answer>Explosion</answer>
Explosion_7.mp4,<answer>Explosion</answer>
Explosion_9.mp4,Explosion
Explosion_11.mp4,<answer> People_falling </answer>
Explosion_13.mp4,<answer>Explosion</answer>
Explosion_15.mp4,<answer> Normal </answer>
Fighting_3.mp4,<answer> Normal </answer>
Fighting_4.mp4,<answer>Robbery</answer>
Fighting_7.mp4,<answer>Fighting</answer>
Fighting_10.mp4,<answer>Assault</answer>
Fighting_12.mp4,<answer> Normal </answer>
